Channel Number,Channel Name,Channel Type,Rx Frequency,Tx Frequency,Bandwidth (kHz),Colour Code,Timeslot,Contact,TG List,DMR ID,TS1_TA_Tx,TS2_TA_Tx ID,RX Tone,TX Tone,Squelch,Power,Rx Only,Zone Skip,All Skip,TOT,VOX,No Beep,No Eco,APRS,Latitude,Longitude
1,CFMC 440 FM,Analogue,448.75,443.75,25,,,None,None,None,Off,Off,114.8,114.8,Disabled,Master,No,No,No,0,Off,No,No,None,41.93,-87.64
2,CFMC 2m FM,Analogue,146.16,146.76,25,,,None,None,None,Off,Off,107.2,107.2,Disabled,Master,No,No,No,0,Off,No,No,None,41.93,-87.64
3,CFMC 2m Fusion (FM),Analogue,144.75,145.35,25,,,None,None,None,Off,Off,72,72,Disabled,Master,No,No,No,0,Off,No,No,None,42.041,-87.861
4,875 N Mich Ops,Digital,463.6375,463.6375,,1,1,Site Local,875 N Mich Ops,None,Off,Off,,,,Master,Yes,No,No,0,Off,No,No,None,41.96,-87.66
5,401 N Mich Ops,Digital,464.95,464.95,,1,1,Site Local,401 N Mich Ops,None,Off,Off,,,,Master,Yes,No,No,0,Off,No,No,None,41.96,-87.66
6,Tribune Tower,Digital,463.3375,463.3375,,1,1,Site Local,Tribune Tower,None,Off,Off,,,,Master,Yes,No,No,0,Off,No,No,None,41.96,-87.66
7,Merch Mart DMR,Digital,463.5125,463.5125,,1,1,Site Local,Merch Mart DMR,None,Off,Off,,,,Master,Yes,No,No,0,Off,No,No,None,41.96,-87.66
8,New York Res,Digital,464.825,464.825,,1,1,Site Local,New York Res,None,Off,Off,,,,Master,Yes,No,No,0,Off,No,No,None,41.96,-87.66
9,2650 N Lakeview,Digital,464.8625,464.8625,,1,1,Site Local,2650 N Lakeview,None,Off,Off,,,,Master,Yes,No,No,0,Off,No,No,None,41.96,-87.66
10,3950 LSD,Digital,461.975,461.975,,1,1,Site Local,3950 LSD,None,Off,Off,,,,Master,Yes,No,No,0,Off,No,No,None,41.96,-87.66
11,Eugenie Terrace,Analogue,464.1625,464.1625,12.5,,,None,None,None,Off,Off,None,None,Disabled,Master,Yes,No,No,0,Off,No,No,None,41.96,-87.66
12,625 N Mich,Digital,452.1625,452.1625,,1,1,Site Local,625 N Mich,None,Off,Off,,,,Master,Yes,No,No,0,Off,No,No,None,41.96,-87.66
13,757 Orleans,Digital,464.2,464.2,,1,1,Site Local,757 Orleans,None,Off,Off,,,,Master,Yes,No,No,0,Off,No,No,None,41.96,-87.66
14,500 LSD CC10,Digital,464.0875,464.0875,,10,1,Site Local,500 LSD CC10,None,Off,Off,,,,Master,Yes,No,No,0,Off,No,No,None,41.96,-87.66
15,Park Place Twr,Digital,463.95,463.95,,1,1,Site Local,Park Place Twr,None,Off,Off,,,,Master,Yes,No,No,0,Off,No,No,None,41.96,-87.66
16,NMH Parking,Digital,464.8125,464.8125,,6,1,Site Local,NMH Parking,None,Off,Off,,,,Master,Yes,No,No,0,Off,No,No,None,41.96,-87.66
17,LiveNation Lwr,Analogue,464.15,464.15,12.5,,,None,None,None,Off,Off,None,None,Disabled,Master,Yes,No,No,0,Off,No,No,None,41.96,-87.66
18,Cubby Bear,Analogue,461.025,461.025,12.5,,,None,None,None,Off,Off,None,None,Disabled,Master,Yes,No,No,0,Off,No,No,None,41.96,-87.66
19,Allegro Sonesta,Digital,463.725,463.725,,1,1,Site Local,Allegro Sonesta,None,Off,Off,,,,Master,Yes,No,No,0,Off,No,No,None,41.96,-87.66
20,Allegro Sonesta 2,Digital,461.825,461.825,,1,1,Site Local,Allegro Sonesta,None,Off,Off,,,,Master,Yes,No,No,0,Off,No,No,None,41.96,-87.66
21,AMA Plaza,Digital,463.4,463.4,,1,1,Site Local,AMA Plaza,None,Off,Off,,,,Master,Yes,No,No,0,Off,No,No,None,41.96,-87.66
22,Two Prudential,Digital,464.925,464.925,,1,1,Site Local,Two Prudential,None,Off,Off,,,,Master,Yes,No,No,0,Off,No,No,None,41.96,-87.66
23,Aon Building,Digital,464.2125,464.2125,,1,1,Site Local,Aon Building,None,Off,Off,,,,Master,Yes,No,No,0,Off,No,No,None,41.96,-87.66
24,BCBS IL HQ,Digital,461.6625,461.6625,,1,1,Site Local,BCBS IL HQ,None,Off,Off,,,,Master,Yes,No,No,0,Off,No,No,None,41.96,-87.66
25,333 S Wabash,Digital,464.7125,464.7125,,1,1,Site Local,333 S Wabash,None,Off,Off,,,,Master,Yes,No,No,0,Off,No,No,None,41.96,-87.66
26,Old Post Office,Digital,463.925,463.925,,1,1,Site Local,Old Post Office,None,Off,Off,,,,Master,Yes,No,No,0,Off,No,No,None,41.96,-87.66
27,CFD Fireground A,Analogue,458.025,458.025,12.5,,,None,None,None,Off,Off,203.5,203.5,Disabled,Master,Yes,No,No,0,Off,No,No,None,41.8781,-87.6298
28,CFD Command A,Analogue,458.125,458.125,12.5,,,None,None,None,Off,Off,218.1,218.1,Disabled,Master,Yes,No,No,0,Off,No,No,None,41.8781,-87.6298
29,CFD Lakefront,Analogue,458.075,458.075,12.5,,,None,None,None,Off,Off,210.7,210.7,Disabled,Master,Yes,No,No,0,Off,No,No,None,41.8781,-87.6298
30,CFD Tac A,Analogue,470.1625,470.1625,12.5,,,None,None,None,Off,Off,97.4,97.4,Disabled,Master,Yes,No,No,0,Off,No,No,None,41.8781,-87.6298
31,CFD Ops 8 A,Analogue,476.2875,476.2875,12.5,,,None,None,None,Off,Off,69.3,69.3,Disabled,Master,Yes,No,No,0,Off,No,No,None,41.8781,-87.6298
